파도,초,시간,,첫번째 모터에서 4번째 모터까지 파도 이동 속도
1,1.855,00:01.9,,1.05
2,5.158,00:05.2,,(125 파도 모두 동일하게 1.05초)
3,8.974,00:09.0,,
4,12.22,00:12.2,,
5,15.955,00:16.0,,
6,20.503,00:20.5,,
7,24.874,00:24.9,,
8,28.433,00:28.4,,
9,32.374,00:32.4,,
10,36.015,00:36.0,,
11,39.481,00:39.5,,
12,42.678,00:42.7,,
13,45.202,00:45.2,,
14,48.63,00:48.6,,
15,51.576,00:51.6,,
16,55.729,00:55.7,,
17,60.12,01:00.1,,
18,64.724,01:04.7,,
19,69.339,01:09.3,,
20,73.73,01:13.7,,
21,78.077,01:18.1,,
22,82.113,01:22.1,,
23,85.959,01:26.0,,
24,89.781,01:29.8,,
25,93.323,01:33.3,,
26,97.152,01:37.2,,
27,101.269,01:41.3,,
28,105.023,01:45.0,,
29,109.133,01:49.1,,
30,113.706,01:53.7,,
31,118.479,01:58.5,,
32,123.089,02:03.1,,
33,127.568,02:07.6,,
34,131.34,02:11.3,,
35,135.694,02:15.7,,
36,139.723,02:19.7,,
37,143.689,02:23.7,,
38,147.63,02:27.6,,
39,151.065,02:31.1,,
40,155.461,02:35.5,,
41,159.852,02:39.9,,
42,164.481,02:44.5,,
43,169.196,02:49.2,,
44,173.794,02:53.8,,
45,177.835,02:57.8,,
46,182.081,03:02.1,,
47,185.734,03:05.7,,
48,189.506,03:09.5,,
49,193.204,03:13.2,,
50,196.532,03:16.5,,
51,200.324,03:20.3,,
52,204.473,03:24.5,,
53,208.421,03:28.4,,
54,212.599,03:32.6,,
55,217.146,03:37.2,,
56,221.319,03:41.3,,
57,225.498,03:45.5,,
58,229.571,03:49.6,,
59,233.43,03:53.4,,
60,237.033,03:57.0,,
61,240.561,04:00.6,,
62,244.177,04:04.2,,
63,247.967,04:08.0,,
64,252.165,04:12.2,,
65,256.594,04:16.6,,
66,261.336,04:21.3,,
67,265.976,04:26.0,,
68,270.523,04:30.5,,
69,275.213,04:35.2,,
70,279.467,04:39.5,,
71,283.095,04:43.1,,
72,286.149,04:46.1,,
73,289.859,04:49.9,,
74,293.501,04:53.5,,
75,297.223,04:57.2,,
76,301.688,05:01.7,,
77,306.361,05:06.4,,
78,310.732,05:10.7,,
79,315.135,05:15.1,,
80,319.527,05:19.5,,
81,323.037,05:23.0,,
82,326.341,05:26.3,,
83,329.108,05:29.1,,
84,331.923,05:31.9,,
85,334.833,05:34.8,,
86,338.66,05:38.7,,
87,342.669,05:42.7,,
88,347.053,05:47.1,,
89,351.669,05:51.7,,
90,356.411,05:56.4,,
91,360.889,06:00.9,,
92,365.124,06:05.1,,
93,369.635,06:09.6,,
94,373.957,06:14.0,,
95,377.199,06:17.2,,
96,379.765,06:19.8,,
97,382.862,06:22.9,,
98,386.677,06:26.7,,
99,390.174,06:30.2,,
100,394.646,06:34.7,,
101,399.018,06:39.0,,
102,403.576,06:43.6,,
103,407.406,06:47.4,,
104,411.64,06:51.6,,
105,416.175,06:56.2,,
106,419.872,06:59.9,,
107,423.082,07:03.1,,
108,426.947,07:07.0,,
109,430.456,07:10.5,,
110,433.303,07:13.3,,
111,436.007,07:16.0,,
112,439.455,07:19.5,,
113,443.646,07:23.6,,
114,447.769,07:27.8,,
115,452.134,07:32.1,,
116,456.462,07:36.5,,
117,460.521,07:40.5,,
118,464.593,07:44.6,,
119,467.991,07:48.0,,
120,471.189,07:51.2,,
121,474.187,07:54.2,,
122,477.679,07:57.7,,
123,481.745,08:01.7,,
124,486.029,08:06.0,,
125,490.338,08:10.3,,
